id;label;category;section
01.11;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;A;AGRICULTURE, FORESTRY AND FISHING
01.12;Culture du riz;A;AGRICULTURE, FORESTRY AND FISHING
01.13;Culture de légumes, de melons, de racines et de tubercules;A;AGRICULTURE, FORESTRY AND FISHING
01.14;Culture de la canne à sucre;A;AGRICULTURE, FORESTRY AND FISHING
01.15;Culture du tabac;A;AGRICULTURE, FORESTRY AND FISHING
01.16;Culture de plantes à fibres;A;AGRICULTURE, FORESTRY AND FISHING
01.19;Autres cultures non permanentes;A;AGRICULTURE, FORESTRY AND FISHING
01.21;Culture de la vigne;A;AGRICULTURE, FORESTRY AND FISHING
01.22;Culture de fruits tropicaux et subtropicaux;A;AGRICULTURE, FORESTRY AND FISHING
01.23;Culture d'agrumes;A;AGRICULTURE, FORESTRY AND FISHING
01.24;Culture de fruits à pépins et à noyau;A;AGRICULTURE, FORESTRY AND FISHING
01.25;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;A;AGRICULTURE, FORESTRY AND FISHING
01.26;Culture de fruits oléagineux;A;AGRICULTURE, FORESTRY AND FISHING
01.27;Culture de plantes à boissons;A;AGRICULTURE, FORESTRY AND FISHING
01.28;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;A;AGRICULTURE, FORESTRY AND FISHING
01.29;Autres cultures permanentes;A;AGRICULTURE, FORESTRY AND FISHING
01.30;Reproduction de plantes;A;AGRICULTURE, FORESTRY AND FISHING
01.41;Élevage de vaches laitières;A;AGRICULTURE, FORESTRY AND FISHING
01.42;Élevage d'autres bovins et de buffles;A;AGRICULTURE, FORESTRY AND FISHING
01.43;Élevage de chevaux et d'autres équidés;A;AGRICULTURE, FORESTRY AND FISHING
01.44;Élevage de chameaux et d'autres camélidés;A;AGRICULTURE, FORESTRY AND FISHING
01.45;Élevage d'ovins et de caprins;A;AGRICULTURE, FORESTRY AND FISHING
01.46;Élevage de porcins;A;AGRICULTURE, FORESTRY AND FISHING
01.47;Élevage de volailles;A;AGRICULTURE, FORESTRY AND FISHING
01.49;Élevage d'autres animaux;A;AGRICULTURE, FORESTRY AND FISHING
01.50;Culture et élevage associés;A;AGRICULTURE, FORESTRY AND FISHING
01.61;Activités de soutien aux cultures;A;AGRICULTURE, FORESTRY AND FISHING
01.62;Activités de soutien à la production animale;A;AGRICULTURE, FORESTRY AND FISHING
01.63;Traitement primaire des récoltes;A;AGRICULTURE, FORESTRY AND FISHING
01.64;Traitement des semences;A;AGRICULTURE, FORESTRY AND FISHING
01.70;Chasse, piégeage et services annexes;A;AGRICULTURE, FORESTRY AND FISHING
02.10;Sylviculture et autres activités forestières;A;AGRICULTURE, FORESTRY AND FISHING
02.20;Exploitation forestière;A;AGRICULTURE, FORESTRY AND FISHING
02.30;Récolte de produits forestiers non ligneux poussant à l'état sauvage;A;AGRICULTURE, FORESTRY AND FISHING
02.40;Services de soutien à l'exploitation forestière;A;AGRICULTURE, FORESTRY AND FISHING
03.11;Pêche en mer;A;AGRICULTURE, FORESTRY AND FISHING
03.12;Pêche en eau douce;A;AGRICULTURE, FORESTRY AND FISHING
03.21;Aquaculture en mer;A;AGRICULTURE, FORESTRY AND FISHING
03.22;Aquaculture en eau douce;A;AGRICULTURE, FORESTRY AND FISHING
05.10;Extraction de houille;B;MINING AND QUARRYING
05.20;Extraction de lignite;B;MINING AND QUARRYING
06.10;Extraction de pétrole brut;B;MINING AND QUARRYING
06.20;Extraction de gaz naturel;B;MINING AND QUARRYING
07.10;Extraction de minerais de fer;B;MINING AND QUARRYING
07.21;Extraction de minerais d'uranium et de thorium;B;MINING AND QUARRYING
07.29;Extraction d'autres minerais de métaux non ferreux;B;MINING AND QUARRYING
08.11;Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise;B;MINING AND QUARRYING
08.12;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;B;MINING AND QUARRYING
08.91;Extraction des minéraux chimiques et d'engrais minéraux;B;MINING AND QUARRYING
08.92;Extraction de tourbe;B;MINING AND QUARRYING
08.93;Production de sel;B;MINING AND QUARRYING
08.99;Autres activités extractives n.c.a.;B;MINING AND QUARRYING
09.10;Activités de soutien à l'extraction d'hydrocarbures;B;MINING AND QUARRYING
09.90;Activités de soutien aux autres industries extractives;B;MINING AND QUARRYING
10.11;Transformation et conservation de la viande de boucherie;C;MANUFACTURING
10.12;Transformation et conservation de la viande de volaille;C;MANUFACTURING
10.13;Préparation de produits à base de viande;C;MANUFACTURING
10.20;Transformation et conservation de poisson, de crustacés et de mollusques;C;MANUFACTURING
10.31;Transformation et conservation de pommes de terre;C;MANUFACTURING
10.32;Préparation de jus de fruits et légumes;C;MANUFACTURING
10.39;Autre transformation et conservation de fruits et légumes;C;MANUFACTURING
10.41;Fabrication d'huiles et graisses;C;MANUFACTURING
10.42;Fabrication de margarine et graisses comestibles similaires;C;MANUFACTURING
10.51;Exploitation de laiteries et fabrication de fromage;C;MANUFACTURING
10.52;Fabrication de glaces et sorbets;C;MANUFACTURING
10.61;Travail des grains;C;MANUFACTURING
10.62;Fabrication de produits amylacés;C;MANUFACTURING
10.71;Fabrication de pain et de pâtisserie fraîche;C;MANUFACTURING
10.72;Fabrication de biscuits, biscottes et pâtisseries de conservation;C;MANUFACTURING
10.73;Fabrication de pâtes alimentaires;C;MANUFACTURING
10.81;Fabrication de sucre;C;MANUFACTURING
10.82;Fabrication de cacao, chocolat et de produits de confiserie;C;MANUFACTURING
10.83;Transformation du thé et du café;C;MANUFACTURING
10.84;Fabrication de condiments et assaisonnements;C;MANUFACTURING
10.85;Fabrication de plats préparés;C;MANUFACTURING
10.86;Fabrication d'aliments homogénéisés et diététiques;C;MANUFACTURING
10.89;Fabrication d'autres produits alimentaires n.c.a.;C;MANUFACTURING
10.91;Fabrication d'aliments pour animaux de ferme;C;MANUFACTURING
10.92;Fabrication d'aliments pour animaux de compagnie;C;MANUFACTURING
11.01;Production de boissons alcooliques distillées;C;MANUFACTURING
11.02;Production de vin (de raisin);C;MANUFACTURING
11.03;Fabrication de cidre et de vins de fruits;C;MANUFACTURING
11.04;Production d'autres boissons fermentées non distillées;C;MANUFACTURING
11.05;Fabrication de bière;C;MANUFACTURING
11.06;Fabrication de malt;C;MANUFACTURING
11.07;Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes;C;MANUFACTURING
12.00;Fabrication de produits à base de tabac;C;MANUFACTURING
13.10;Préparation de fibres textiles et filature;C;MANUFACTURING
13.20;Tissage;C;MANUFACTURING
13.30;Ennoblissement textile;C;MANUFACTURING
13.91;Fabrication d'étoffes à mailles;C;MANUFACTURING
13.92;Fabrication d'articles textiles, sauf habillement;C;MANUFACTURING
13.93;Fabrication de tapis et moquettes;C;MANUFACTURING
13.94;Fabrication de ficelles, cordes et filets;C;MANUFACTURING
13.95;Fabrication de non-tissés, sauf habillement;C;MANUFACTURING
13.96;Fabrication d'autres textiles techniques et industriels;C;MANUFACTURING
13.99;Fabrication d'autres textiles n.c.a.;C;MANUFACTURING
14.11;Fabrication de vêtements en cuir;C;MANUFACTURING
14.12;Fabrication de vêtements de travail;C;MANUFACTURING
14.13;Fabrication de vêtements de dessus;C;MANUFACTURING
14.14;Fabrication de vêtements de dessous;C;MANUFACTURING
14.19;Fabrication d'autres vêtements et accessoires;C;MANUFACTURING
14.20;Fabrication d'articles en fourrure;C;MANUFACTURING
14.31;Fabrication d'articles chaussants à mailles;C;MANUFACTURING
14.39;Fabrication d'autres articles à mailles;C;MANUFACTURING
15.11;"Apprêt et tannage des cuirs ; préparation et teinture des fourrures";C;MANUFACTURING
15.12;Fabrication d'articles de voyage, de maroquinerie et de sellerie;C;MANUFACTURING
15.20;Fabrication de chaussures;C;MANUFACTURING
16.10;Sciage et rabotage du bois;C;MANUFACTURING
16.21;Fabrication de placage et de panneaux de bois;C;MANUFACTURING
16.22;Fabrication de parquets assemblés;C;MANUFACTURING
16.23;Fabrication de charpentes et d'autres menuiseries;C;MANUFACTURING
16.24;Fabrication d'emballages en bois;C;MANUFACTURING
16.29;"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie";C;MANUFACTURING
17.11;Fabrication de pâte à papier;C;MANUFACTURING
17.12;Fabrication de papier et de carton;C;MANUFACTURING
17.21;Fabrication de papier et carton ondulés et d'emballages en papier ou en carton;C;MANUFACTURING
17.22;Fabrication d'articles en papier à usage sanitaire ou domestique;C;MANUFACTURING
17.23;Fabrication d'articles de papeterie;C;MANUFACTURING
17.24;Fabrication de papiers peints;C;MANUFACTURING
17.29;Fabrication d'autres articles en papier ou en carton;C;MANUFACTURING
18.11;Imprimerie de journaux;C;MANUFACTURING
18.12;Autre imprimerie (labeur);C;MANUFACTURING
18.13;Activités de pré-presse;C;MANUFACTURING
18.14;Reliure et activités connexes;C;MANUFACTURING
18.20;Reproduction d'enregistrements;C;MANUFACTURING
19.10;Cokéfaction;C;MANUFACTURING
19.20;Raffinage du pétrole;C;MANUFACTURING
20.11;Fabrication de gaz industriels;C;MANUFACTURING
20.12;Fabrication de colorants et de pigments;C;MANUFACTURING
20.13;Fabrication d'autres produits chimiques inorganiques de base;C;MANUFACTURING
20.14;Fabrication d'autres produits chimiques organiques de base;C;MANUFACTURING
20.15;Fabrication de produits azotés et d'engrais;C;MANUFACTURING
20.16;Fabrication de matières plastiques de base;C;MANUFACTURING
20.17;Fabrication de caoutchouc synthétique;C;MANUFACTURING
20.20;Fabrication de pesticides et d'autres produits agrochimiques;C;MANUFACTURING
20.30;Fabrication de peintures, vernis, encres et mastics;C;MANUFACTURING
20.41;Fabrication de savons, détergents et produits d'entretien;C;MANUFACTURING
20.42;Fabrication de parfums et de produits pour la toilette;C;MANUFACTURING
20.51;Fabrication de produits explosifs;C;MANUFACTURING
20.52;Fabrication de colles;C;MANUFACTURING
20.53;Fabrication d'huiles essentielles;C;MANUFACTURING
20.59;Fabrication d'autres produits chimiques n.c.a.;C;MANUFACTURING
20.60;Fabrication de fibres artificielles ou synthétiques;C;MANUFACTURING
21.10;Fabrication de produits pharmaceutiques de base;C;MANUFACTURING
21.20;Fabrication de préparations pharmaceutiques;C;MANUFACTURING
22.11;Fabrication et rechapage de pneumatiques;C;MANUFACTURING
22.19;Fabrication d'autres articles en caoutchouc;C;MANUFACTURING
22.21;Fabrication de plaques, feuilles, tubes et profilés en matières plastiques;C;MANUFACTURING
22.22;Fabrication d'emballages en matières plastiques;C;MANUFACTURING
22.23;Fabrication d'éléments en matières plastiques pour la construction;C;MANUFACTURING
22.29;Fabrication d'autres articles en matières plastiques;C;MANUFACTURING
23.11;Fabrication de verre plat;C;MANUFACTURING
23.12;Façonnage et transformation du verre plat;C;MANUFACTURING
23.13;Fabrication de verre creux;C;MANUFACTURING
23.14;Fabrication de fibres de verre;C;MANUFACTURING
23.19;Fabrication et façonnage d'autres articles en verre, y compris verre technique;C;MANUFACTURING
23.20;Fabrication de produits réfractaires;C;MANUFACTURING
23.31;Fabrication de carreaux en céramique;C;MANUFACTURING
23.32;Fabrication de briques, tuiles et produits de construction, en terre cuite;C;MANUFACTURING
23.41;Fabrication d'articles céramiques à usage domestique ou ornemental;C;MANUFACTURING
23.42;Fabrication d'appareils sanitaires en céramique;C;MANUFACTURING
23.43;Fabrication d'isolateurs et pièces isolantes en céramique;C;MANUFACTURING
23.44;Fabrication d'autres produits céramiques à usage technique;C;MANUFACTURING
23.49;Fabrication d'autres produits céramiques;C;MANUFACTURING
23.51;Fabrication de ciment;C;MANUFACTURING
23.52;Fabrication de chaux et plâtre;C;MANUFACTURING
23.61;Fabrication d'éléments en béton pour la construction;C;MANUFACTURING
23.62;Fabrication d'éléments en plâtre pour la construction;C;MANUFACTURING
23.63;Fabrication de béton prêt à l'emploi;C;MANUFACTURING
23.64;Fabrication de mortiers et bétons secs;C;MANUFACTURING
23.65;Fabrication d'ouvrages en fibre-ciment;C;MANUFACTURING
23.69;Fabrication d'autres ouvrages en béton, en ciment ou en plâtre;C;MANUFACTURING
23.70;Taille, façonnage et finissage de pierres;C;MANUFACTURING
23.91;Fabrication de produits abrasifs;C;MANUFACTURING
23.99;Fabrication d'autres produits minéraux non métalliques n.c.a.;C;MANUFACTURING
24.10;Sidérurgie;C;MANUFACTURING
24.20;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier;C;MANUFACTURING
24.31;Étirage à froid de barres;C;MANUFACTURING
24.32;Laminage à froid de feuillards;C;MANUFACTURING
24.33;Profilage à froid par formage ou pliage;C;MANUFACTURING
24.34;Tréfilage à froid;C;MANUFACTURING
24.41;Production de métaux précieux;C;MANUFACTURING
24.42;Métallurgie de l'aluminium;C;MANUFACTURING
24.43;Métallurgie du plomb, du zinc ou de l'étain;C;MANUFACTURING
24.44;Métallurgie du cuivre;C;MANUFACTURING
24.45;Métallurgie des autres métaux non ferreux;C;MANUFACTURING
24.46;Élaboration et transformation de matières nucléaires;C;MANUFACTURING
24.51;Fonderie de fonte;C;MANUFACTURING
24.52;Fonderie d'acier;C;MANUFACTURING
24.53;Fonderie de métaux légers;C;MANUFACTURING
24.54;Fonderie d'autres métaux non ferreux;C;MANUFACTURING
25.11;Fabrication de structures métalliques et de parties de structures;C;MANUFACTURING
25.12;Fabrication de portes et fenêtres en métal;C;MANUFACTURING
25.21;Fabrication de radiateurs et de chaudières pour le chauffage central;C;MANUFACTURING
25.29;Fabrication d'autres réservoirs, citernes et conteneurs métalliques;C;MANUFACTURING
25.30;Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central;C;MANUFACTURING
25.40;Fabrication d'armes et de munitions;C;MANUFACTURING
25.50;"Forge, emboutissage, estampage ; métallurgie des poudres";C;MANUFACTURING
25.61;Traitement et revêtement des métaux;C;MANUFACTURING
25.62;Usinage;C;MANUFACTURING
25.71;Fabrication de coutellerie;C;MANUFACTURING
25.72;Fabrication de serrures et de ferrures;C;MANUFACTURING
25.73;Fabrication d'outillage;C;MANUFACTURING
25.91;Fabrication de fûts et emballages métalliques similaires;C;MANUFACTURING
25.92;Fabrication d'emballages métalliques légers;C;MANUFACTURING
25.93;Fabrication d'articles en fils métalliques, de chaînes et de ressorts;C;MANUFACTURING
25.94;Fabrication de vis et de boulons;C;MANUFACTURING
25.99;Fabrication d'autres produits métalliques n.c.a.;C;MANUFACTURING
26.11;Fabrication de composants électroniques;C;MANUFACTURING
26.12;Fabrication de cartes électroniques assemblées;C;MANUFACTURING
26.20;Fabrication d'ordinateurs et d'équipements périphériques;C;MANUFACTURING
26.30;Fabrication d'équipements de communication;C;MANUFACTURING
26.40;Fabrication de produits électroniques grand public;C;MANUFACTURING
26.51;Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation;C;MANUFACTURING
26.52;Horlogerie;C;MANUFACTURING
26.60;Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques;C;MANUFACTURING
26.70;Fabrication de matériels optique et photographique;C;MANUFACTURING
26.80;Fabrication de supports magnétiques et optiques;C;MANUFACTURING
27.11;Fabrication de moteurs, génératrices et transformateurs électriques;C;MANUFACTURING
27.12;Fabrication de matériel de distribution et de commande électrique;C;MANUFACTURING
27.20;Fabrication de piles et d'accumulateurs électriques;C;MANUFACTURING
27.31;Fabrication de câbles de fibres optiques;C;MANUFACTURING
27.32;Fabrication d'autres fils et câbles électroniques ou électriques;C;MANUFACTURING
27.33;Fabrication de matériel d'installation électrique;C;MANUFACTURING
27.40;Fabrication d'appareils d'éclairage électrique;C;MANUFACTURING
27.51;Fabrication d'appareils électroménagers;C;MANUFACTURING
27.52;Fabrication d'appareils ménagers non électriques;C;MANUFACTURING
27.90;Fabrication d'autres matériels électriques;C;MANUFACTURING
28.11;Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules;C;MANUFACTURING
28.12;Fabrication d'équipements hydrauliques et pneumatiques;C;MANUFACTURING
28.13;Fabrication d'autres pompes et compresseurs;C;MANUFACTURING
28.14;Fabrication d'autres articles de robinetterie;C;MANUFACTURING
28.15;Fabrication d'engrenages et d'organes mécaniques de transmission;C;MANUFACTURING
28.21;Fabrication de fours et brûleurs;C;MANUFACTURING
28.22;Fabrication de matériel de levage et de manutention;C;MANUFACTURING
28.23;Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques);C;MANUFACTURING
28.24;Fabrication d'outillage portatif à moteur incorporé;C;MANUFACTURING
28.25;Fabrication d'équipements aérauliques et frigorifiques industriels;C;MANUFACTURING
28.29;Fabrication de machines diverses d'usage général;C;MANUFACTURING
28.30;Fabrication de machines agricoles et forestières;C;MANUFACTURING
28.41;Fabrication de machines de formage des métaux;C;MANUFACTURING
28.49;Fabrication d'autres machines-outils;C;MANUFACTURING
28.91;Fabrication de machines pour la métallurgie;C;MANUFACTURING
28.92;Fabrication de machines pour l'extraction ou la construction;C;MANUFACTURING
28.93;Fabrication de machines pour l'industrie agro-alimentaire;C;MANUFACTURING
28.94;Fabrication de machines pour les industries textiles;C;MANUFACTURING
28.95;Fabrication de machines pour les industries du papier et du carton;C;MANUFACTURING
28.96;Fabrication de machines pour le travail du caoutchouc ou des plastiques;C;MANUFACTURING
28.99;Fabrication d'autres machines d'usage spécifique n.c.a.;C;MANUFACTURING
29.10;Construction de véhicules automobiles;C;MANUFACTURING
29.20;Fabrication de carrosseries et remorques;C;MANUFACTURING
29.31;Fabrication d'équipements électriques et électroniques automobiles;C;MANUFACTURING
29.32;Fabrication d'autres équipements automobiles;C;MANUFACTURING
30.11;Construction de navires et de structures flottantes;C;MANUFACTURING
