NACE1;NACE2;weight
0111;0145;0.758182448
0111;0105;0.943960384
0111;1041;0.751199524
0113;0119;0.803290652
0113;0121;0.774553457
0113;0122;0.831587456
0113;0123;0.846772372
0113;0124;0.84765517
0113;0125;0.869007023
0113;0126;0.869075071
0113;0103;0.808103231
0113;0149;0.75330447
0113;0105;0.775538251
0113;0201;0.843257006
0113;0811;0.788927554
0113;0893;0.767774794
0113;1031;0.790377869
0113;1032;0.782818867
0113;1039;0.882338952
0113;1041;0.807372057
0113;1052;0.774404789
0113;1061;0.828081993
0113;1071;0.785207931
0113;1072;0.785207931
0113;1084;0.792769392
0113;1086;0.751729731
0113;1089;0.752903569
0113;1105;0.760084372
0113;1107;0.763906731
0113;120;0.764091319
0113;2041;0.756012934
0115;0122;0.754961528
0115;0126;0.771300181
0115;0127;0.764259557
0115;1032;0.757277306
0115;1039;0.802806768
0115;1081;0.764650998
0115;1083;0.757344718
0115;120;0.895763845
0115;1412;0.817823769
0115;1413;0.798128528
0115;1414;0.815789384
0115;1439;0.822472498
0115;1511;0.775796627
0115;1721;0.750683169
0115;2351;0.779611518
0116;1301;0.947391882
0119;0113;0.803290652
0119;0125;0.966933315
0119;0201;0.980658258
0121;0113;0.774553457
0121;0123;0.79717921
0121;0124;0.833394557
0121;0811;0.755072322
0121;1039;0.771498915
0122;0113;0.831587456
0122;0115;0.754961528
0122;0123;0.816503778
0122;0125;0.761478901
0122;0126;0.852855315
0122;0127;0.783195956
0122;1002;0.755131827
0122;1032;0.794253143
0122;1039;0.882115748
0122;1073;0.786125263
0122;1083;0.788140489
0122;1084;0.760565529
0122;1085;0.786125263
0122;120;0.765333236
0122;1414;0.750447257
0122;1439;0.751638508
0122;2351;0.759839205
0122;2441;0.783083487
0123;0113;0.846772372
0123;0121;0.79717921
0123;0122;0.816503778
0123;0124;0.761675995
0123;0125;0.788913863
0123;0126;0.797136222
0123;0893;0.760257032
0123;1039;0.809528177
0124;0113;0.84765517
0124;0121;0.833394557
0124;0123;0.761675995
0124;0125;0.773500577
0124;1039;0.794276399
0124;1052;0.77264844
0124;1061;0.75521425
0124;1102;0.802192821
0124;2041;0.751995856
0125;0113;0.869007023
0125;0119;0.966933315
0125;0122;0.761478901
0125;0123;0.788913863
0125;0124;0.773500577
0125;0105;0.758810548
0125;0201;0.969456128
0125;1032;0.753337662
0125;1039;0.804228146
0126;0113;0.869075071
0126;0115;0.771300181
0126;0122;0.852855315
0126;0123;0.797136222
0126;0103;0.785787118
0126;0811;0.750221935
0126;0893;0.7905342
0126;1032;0.809402001
0126;1039;0.884595728
0126;1052;0.768837718
0126;1061;0.766177243
0126;1071;0.852912999
0126;1072;0.852912999
0126;1084;0.801462754
0126;1105;0.773901542
0126;1107;0.802882559
0126;120;0.785796975
0126;1412;0.813704551
0126;1413;0.796665728
0126;1414;0.798664455
0126;1439;0.780104168
0126;1721;0.820818143
0126;2222;0.811334028
0126;2351;0.819669038
0126;2352;0.759605346
0127;0115;0.764259557
0127;0122;0.783195956
0127;0128;0.793266581
0127;0203;0.778764252
0127;1083;0.994463364
0127;2441;0.768541714
0128;0127;0.793266581
0128;1002;0.759397059
0128;1083;0.792712739
0128;1084;0.809402774
0129;0203;0.895601145
0103;0113;0.808103231
0103;0126;0.785787118
0103;1039;0.750600968
0103;1052;0.760903958
0103;1105;0.752021876
0141;0142;0.999199902
0141;0147;0.752778185
0141;0149;0.799346389
0141;0105;0.815197117
0141;0202;0.77008515
0141;0893;0.770447553
0141;1013;0.828776279
0141;1051;0.775093354
0141;1061;0.757287191
0141;1071;0.769388545
0141;1072;0.769388545
0141;1086;0.772115737
0141;1105;0.797551958
0141;1107;0.769674002
0141;1601;0.779142535
0141;1621;0.797326666
0141;1622;0.753407696
0141;1623;0.751779476
0141;2592;0.752910861
0141;3103;0.756452215
0141;3511;0.800042957
0142;0141;0.999199902
0142;0147;0.754186106
0142;0149;0.802994717
0142;0105;0.815200775
0142;0202;0.770744259
0142;0893;0.772482424
0142;1013;0.827960808
0142;1051;0.776486644
0142;1061;0.761111026
0142;1071;0.771279061
0142;1072;0.771279061
0142;1086;0.774538136
0142;1105;0.798269399
0142;1107;0.770613089
0142;1601;0.77840022
0142;1621;0.793205359
0142;2592;0.752447409
0142;3103;0.753451254
0142;3511;0.801186256
0143;1011;0.811841977
0143;1051;0.755990743
0143;2059;0.775140392
0144;0149;0.82015106
0144;0311;0.773348523
0144;0312;0.773348523
0144;0321;0.996787154
0144;0322;0.996787154
0145;0111;0.758182448
0145;0105;0.784188724
0146;0892;0.768179187
0146;1011;0.759761078
0147;0141;0.752778185
0147;0142;0.754186106
0147;0149;0.847089649
0147;1013;0.767669579
0147;1105;0.786332781
0147;2369;0.790942967
0147;2521;0.766592766
0147;2591;0.790831169
0147;2592;0.819238781
0147;2733;0.779768328
0149;0113;0.75330447
0149;0141;0.799346389
0149;0142;0.802994717
0149;0144;0.82015106
0149;0147;0.847089649
0149;0105;0.757322831
0149;0321;0.804713975
0149;0322;0.804713975
0149;0812;0.768950391
0149;0893;0.770636166
0149;1013;0.767746365
0149;1041;0.765189746
0149;1061;0.782098303
0149;1071;0.783678422
0149;1072;0.783678422
0149;1105;0.773682098
0149;2222;0.755513416
0149;2352;0.76591406
0149;2369;0.783985424
0149;2591;0.767409326
0149;2592;0.758828059
0149;3511;0.76396972
0105;0111;0.943960384
0105;0113;0.775538251
0105;0125;0.758810548
0105;0141;0.815197117
0105;0142;0.815200775
0105;0145;0.784188724
0105;0149;0.757322831
0105;0893;0.75554814
0105;1041;0.831253631
0105;1051;0.759631346
0105;1081;0.792358325
0105;1621;0.757575314
0105;2015;0.794750831
0201;0113;0.843257006
0201;0119;0.980658258
0201;0125;0.969456128
0202;0141;0.77008515
0202;0142;0.770744259
0202;1042;0.750543581
0202;1601;0.975707455
0202;1621;0.833291105
0202;1622;0.789873496
0202;1623;0.801978938
0202;2015;0.830393026
0202;2361;0.782581219
0202;3511;0.752846587
0203;0127;0.778764252
0203;0129;0.895601145
0203;0311;0.751313715
0203;0312;0.751313715
0203;1083;0.795099642
0311;0144;0.773348523
0311;0203;0.751313715
0311;0312;1
0311;0321;0.781219293
0311;0322;0.781219293
0311;0893;0.754858138
0311;1002;0.943340661
0311;1084;0.764942549
0311;120;0.763957229
0311;1394;0.770487407
0311;1414;0.761459811
0311;1439;0.759674485
0312;0144;0.773348523
0312;0203;0.751313715
0312;0311;1
0312;0321;0.781219293
0312;0322;0.781219293
0312;0893;0.754858138
0312;1002;0.943340661
0312;1084;0.764942549
0312;120;0.763957229
0312;1394;0.770487407
0312;1414;0.761459811
0312;1439;0.759674485
0321;0144;0.996787154
0321;0149;0.804713975
0321;0311;0.781219293
0321;0312;0.781219293
0321;0322;1
0322;0144;0.996787154
0322;0149;0.804713975
0322;0311;0.781219293
0322;0312;0.781219293
0322;0321;1
0501;0701;0.797604447
0501;2446;0.750858725
0602;1902;0.806377821
0701;0501;0.797604447
0701;0729;0.772244473
0729;0701;0.772244473
0729;0891;0.775923572
0811;0113;0.788927554
0811;0121;0.755072322
0811;0126;0.750221935
0811;1039;0.816241006
0811;2352;0.790073655
0811;2307;0.79058682
0812;0149;0.768950391
0812;1041;0.756019502
0812;2352;0.760326448
0812;3511;0.750751726
0812;3811;0.755795519
0891;0729;0.775923572
0892;0146;0.768179187
0893;0113;0.767774794
0893;0123;0.760257032
0893;0126;0.7905342
0893;0141;0.770447553
0893;0142;0.772482424
0893;0149;0.770636166
0893;0105;0.75554814
0893;0311;0.754858138
0893;0312;0.754858138
0893;1002;0.772886658
0893;1039;0.754257451
0893;1071;0.757873888
0893;1072;0.757873888
0893;1084;0.79971208
0893;120;0.768790228
0893;1511;0.788616686
0893;2351;0.764915277
0899;3521;0.760429711
1011;0143;0.811841977
1011;0146;0.759761078
1011;1012;0.762441149
1011;1051;0.829741215
1011;1062;0.772418557
1011;1086;0.763887235
1011;1089;0.802805852
1011;1106;0.769677779
1011;2803;0.788302958
1012;1011;0.762441149
1012;2803;0.753318358
1013;0141;0.828776279
1013;0142;0.827960808
1013;0147;0.767669579
1013;0149;0.767746365
1013;1042;0.751733991
1013;1051;0.876509264
1013;1052;0.830109242
1013;1061;0.832883611
1013;1071;0.755246108
1013;1072;0.755246108
1013;1084;0.755996251
1013;1086;0.90116538
1013;1089;0.858353687
1013;1091;0.808904746
1013;1092;0.814744913
1013;1103;0.760418048
1013;1105;0.853287926
1013;1107;0.824493058
1013;1621;0.813404436
1013;1622;0.81172445
1013;1623;0.789024357
1013;2041;0.794547492
1013;2222;0.763827644
1013;2332;0.775898698
1013;2361;0.780715202
1013;2369;0.812144744
1013;2511;0.815077461
1013;2512;0.810285717
1013;2591;0.784166817
1013;2592;0.793212594
1013;2733;0.775173475
1013;3103;0.753626051
1013;5813;0.752336421
1013;5814;0.752336421
1013;5819;0.754402285
1002;0122;0.755131827
1002;0128;0.759397059
1002;0311;0.943340661
1002;0312;0.943340661
1002;0893;0.772886658
1002;1084;0.786223836
1002;1394;0.813823469
1002;1414;0.761619007
1002;1439;0.754016031
1031;0113;0.790377869
1031;1039;0.873268065
1032;0113;0.782818867
1032;0115;0.757277306
1032;0122;0.794253143
1032;0125;0.753337662
1032;0126;0.809402001
1032;1039;0.888157902
1032;1042;0.766180199
1032;1061;0.790268741
1032;1071;0.816545588
1032;1072;0.816545588
1032;1081;0.762537766
1032;1084;0.823013422
1032;1086;0.757890649
1032;1105;0.776772149
1032;1107;0.755892318
1032;120;0.753290832
1032;2041;0.784222754
1032;2222;0.788857603
1039;0113;0.882338952
1039;0115;0.802806768
1039;0121;0.771498915
1039;0122;0.882115748
1039;0123;0.809528177
1039;0124;0.794276399
1039;0125;0.804228146
1039;0126;0.884595728
1039;0103;0.750600968
1039;0811;0.816241006
1039;0893;0.754257451
1039;1031;0.873268065
1039;1032;0.888157902
1039;1041;0.775773883
1039;1061;0.794006109
1039;1071;0.81848375
1039;1072;0.81848375
1039;1073;0.756760861
1039;1081;0.766218968
1039;1084;0.812468996
1039;1085;0.756760861
1039;1107;0.753738412
1039;120;0.786653529
1039;1412;0.795538781
1039;1413;0.773798581
1039;1414;0.79403329
1039;1439;0.800327231
1039;1511;0.757718776
1039;1721;0.756142278
1039;2041;0.759795273
1039;2222;0.770451202
1039;2351;0.756409888
1039;2352;0.773469276
1041;0111;0.751199524
1041;0113;0.807372057
1041;0149;0.765189746
1041;0105;0.831253631
1041;0812;0.756019502
1041;1039;0.775773883
1041;1081;0.760316916
1041;1082;0.758199078
1042;0202;0.750543581
1042;1013;0.751733991
1042;1032;0.766180199
1042;1052;0.757731188
1042;1071;0.799158571
1042;1072;0.799158571
1042;1084;0.800047005
1042;1105;0.751892132
1042;1601;0.751826806
1042;1621;0.751477391
1042;1721;0.77256512
1042;2222;0.770211896
1042;2352;0.752413483
1042;2511;0.759347114
1051;0141;0.775093354
1051;0142;0.776486644
1051;0143;0.755990743
1051;0105;0.759631346
1051;1011;0.829741215
1051;1013;0.876509264
1051;1052;0.802961123
1051;1061;0.787727693
1051;1062;0.756482583
1051;1071;0.755732297
1051;1072;0.755732297
1051;1082;0.796714862
1051;1086;0.837228922
1051;1089;0.839053467
1051;1091;0.784965929
1051;1092;0.786789738
1051;1103;0.779881996
1051;1105;0.795852595
1051;1621;0.755710211
1051;2369;0.758611958
1051;2893;0.765545267
1051;5813;0.753335379
1051;5814;0.753335379
1052;0113;0.774404789
1052;0124;0.77264844
1052;0126;0.768837718
1052;0103;0.760903958
1052;1013;0.830109242
1052;1042;0.757731188
1052;1051;0.802961123
1052;1061;0.807012539
1052;1071;0.833409027
1052;1072;0.833409027
1052;1082;0.774043077
1052;1084;0.755000066
1052;1086;0.784494155
1052;1089;0.758747519
1052;1092;0.752228186
1052;1103;0.754707414
1052;1105;0.865895401
1052;1107;0.844333787
1052;1431;0.754114116
1052;1623;0.757373449
1052;1721;0.805451656
1052;2003;0.78390487
1052;2041;0.873880459
1052;2221;0.811297477
1052;2222;0.787242407
1052;2332;0.792587587
1052;2361;0.768378815
1052;2369;0.800690758
1052;2433;0.771163345
1052;2511;0.801450859
1052;2512;0.797150829
1052;2591;0.831882203
1052;2592;0.826075374
1052;3511;0.757549236
1052;5811;0.756841641
1052;5813;0.782636539
1052;5814;0.782636539
1052;5819;0.818239927
1061;0113;0.828081993
1061;0124;0.75521425
1061;0126;0.766177243
1061;0141;0.757287191
1061;0142;0.761111026
1061;0149;0.782098303
1061;1013;0.832883611
1061;1032;0.790268741
1061;1039;0.794006109
1061;1051;0.787727693
1061;1052;0.807012539
1061;1071;0.770282363
1061;1072;0.770282363
1061;1084;0.785924203
1061;1086;0.943804958
1061;1089;0.942502141
1061;1091;0.839559381
1061;1092;0.837696867
1061;1105;0.810701043
1061;1107;0.765348385
1061;2041;0.829313701
1061;2221;0.782487315
1061;2222;0.751897243
1061;2352;0.783144444
1061;2369;0.759937635
1061;2591;0.779999917
1061;2592;0.811951953
1061;5819;0.768634962
1062;1011;0.772418557
1062;1051;0.756482583
1062;2052;0.788401281
1062;2803;0.814392103
1071;0113;0.785207931
1071;0126;0.852912999
1071;0141;0.769388545
1071;0142;0.771279061
1071;0149;0.783678422
1071;0893;0.757873888
1071;1013;0.755246108
1071;1032;0.816545588
1071;1039;0.81848375
1071;1042;0.799158571
1071;1051;0.755732297
1071;1052;0.833409027
1071;1061;0.770282363
1071;1072;1
1071;1081;0.752837465
1071;1082;0.793548558
1071;1084;0.818072094
1071;1105;0.860556578
1071;1107;0.828707949
1071;120;0.798724164
1071;1412;0.766946096
1071;1721;0.865844484
1071;2041;0.815636326
1071;2221;0.767664678
1071;2222;0.862882392
1071;2351;0.764816271
1071;2352;0.792459899
1071;2369;0.772642404
1071;2511;0.762346061
1071;2512;0.762273373
1071;2591;0.824192235
1071;2592;0.813950139
1071;2732;0.760593669
1071;3511;0.79913825
1071;3811;0.753740433
1072;0113;0.785207931
1072;0126;0.852912999
1072;0141;0.769388545
1072;0142;0.771279061
1072;0149;0.783678422
1072;0893;0.757873888
1072;1013;0.755246108
1072;1032;0.816545588
1072;1039;0.81848375
1072;1042;0.799158571
1072;1051;0.755732297
1072;1052;0.833409027
1072;1061;0.770282363
1072;1071;1
1072;1081;0.752837465
1072;1082;0.793548558
1072;1084;0.818072094
1072;1105;0.860556578
1072;1107;0.828707949
1072;120;0.798724164
1072;1412;0.766946096
1072;1721;0.865844484
1072;2041;0.815636326
1072;2221;0.767664678
1072;2222;0.862882392
1072;2351;0.764816271
1072;2352;0.792459899
1072;2369;0.772642404
1072;2511;0.762346061
1072;2512;0.762273373
1072;2591;0.824192235
1072;2592;0.813950139
1072;2732;0.760593669
1072;3511;0.79913825
1072;3811;0.753740433
1073;0122;0.786125263
1073;1039;0.756760861
1073;1085;1
1081;0115;0.764650998
1081;0105;0.792358325
1081;1032;0.762537766
1081;1039;0.766218968
1081;1041;0.760316916
1081;1071;0.752837465
1081;1072;0.752837465
1081;1105;0.794512384
1081;1107;0.777676155
1081;2222;0.767467581
1081;2352;0.763674129
1081;3511;0.768364092
1081;3811;0.768287995
1082;1041;0.758199078
1082;1051;0.796714862
1082;1052;0.774043077
1082;1071;0.793548558
1082;1072;0.793548558
1082;1086;0.751479877
1082;1089;0.754617094
1082;1105;0.759616799
1082;2591;0.752875167
1082;5819;0.755069859
1083;0115;0.757344718
1083;0122;0.788140489
1083;0127;0.994463364
1083;0128;0.792712739
1083;0203;0.795099642
1083;120;0.763285864
1083;2441;0.767429512
1084;0113;0.792769392
1084;0122;0.760565529
1084;0126;0.801462754
1084;0128;0.809402774
1084;0311;0.764942549
1084;0312;0.764942549
1084;0893;0.79971208
1084;1013;0.755996251
1084;1002;0.786223836
1084;1032;0.823013422
1084;1039;0.812468996
1084;1042;0.800047005
1084;1052;0.755000066
1084;1061;0.785924203
1084;1071;0.818072094
1084;1072;0.818072094
1084;1086;0.78219829
1084;1105;0.830580721
1084;1107;0.797050716
1084;120;0.767339861
1084;1721;0.8146744
1084;2222;0.803126701
1084;2352;0.778906457
1084;2591;0.789311933
1084;3811;0.756574511
1085;0122;0.786125263
1085;1039;0.756760861
1085;1073;1
1086;0113;0.751729731
1086;0141;0.772115737
1086;0142;0.774538136
1086;1011;0.763887235
1086;1013;0.90116538
1086;1032;0.757890649
1086;1051;0.837228922
1086;1052;0.784494155
1086;1061;0.943804958
1086;1082;0.751479877
1086;1084;0.78219829
1086;1089;0.979159038
1086;1091;0.833697115
1086;1092;0.833767628
1086;1105;0.812213826
1086;1107;0.771841414
1086;2041;0.787204557
1086;2369;0.767977117
1086;2591;0.764564865
1086;2592;0.781546369
1086;5819;0.76285295
1089;0113;0.752903569
1089;1011;0.802805852
1089;1013;0.858353687
1089;1051;0.839053467
1089;1052;0.758747519
1089;1061;0.942502141
1089;1082;0.754617094
1089;1086;0.979159038
1089;1091;0.844445639
1089;1092;0.843534666
1089;1105;0.770296566
1089;2041;0.78208372
1089;2369;0.76123952
1089;2591;0.755283697
1089;2592;0.782814284
1089;5819;0.770827628
1091;1013;0.808904746
1091;1051;0.784965929
1091;1061;0.839559381
1091;1086;0.833697115
1091;1089;0.844445639
1091;1092;0.999112332
1091;1105;0.809698359
1091;2041;0.770201301
1091;2591;0.774638919
1091;2592;0.828932461
1091;5819;0.774159305
1092;1013;0.814744913
1092;1051;0.786789738
1092;1052;0.752228186
1092;1061;0.837696867
1092;1086;0.833767628
1092;1089;0.843534666
1092;1091;0.999112332
1092;1105;0.813713147
1092;2041;0.77035734
1092;2591;0.780265184
1092;2592;0.832484089
1092;5819;0.777216719
1102;0124;0.802192821
1102;1104;0.823960586
1103;1013;0.760418048
1103;1051;0.779881996
1103;1052;0.754707414
1103;1105;0.760588427
1104;1102;0.823960586
1105;0113;0.760084372
1105;0126;0.773901542
1105;0103;0.752021876
1105;0141;0.797551958
1105;0142;0.798269399
1105;0147;0.786332781
1105;0149;0.773682098
1105;1013;0.853287926
1105;1032;0.776772149
1105;1042;0.751892132
1105;1051;0.795852595
1105;1052;0.865895401
1105;1061;0.810701043
1105;1071;0.860556578
1105;1072;0.860556578
1105;1081;0.794512384
1105;1082;0.759616799
1105;1084;0.830580721
1105;1086;0.812213826
1105;1089;0.770296566
1105;1091;0.809698359
1105;1092;0.813713147
1105;1103;0.760588427
1105;1107;0.921387385
1105;120;0.7500889
1105;1721;0.806297684
1105;2003;0.784225779
1105;2041;0.817032004
1105;2222;0.814865146
1105;2332;0.758825839
1105;2352;0.762315672
1105;2511;0.754352163
1105;2512;0.757560866
1105;2591;0.792020599
1105;2592;0.809838603
1105;3511;0.81594532
1105;3811;0.794576334
1105;5813;0.756099551
1105;5814;0.756099551
1105;5819;0.763986861
1106;1011;0.769677779
1106;2803;0.795900054
1106;2902;0.752883636
1107;0113;0.763906731
1107;0126;0.802882559
1107;0141;0.769674002
1107;0142;0.770613089
1107;1013;0.824493058
1107;1032;0.755892318
1107;1039;0.753738412
1107;1052;0.844333787
1107;1061;0.765348385
1107;1071;0.828707949
1107;1072;0.828707949
1107;1081;0.777676155
1107;1084;0.797050716
1107;1086;0.771841414
1107;1105;0.921387385
1107;1431;0.755039295
1107;1721;0.797787867
1107;2003;0.750401735
1107;2041;0.794463848
1107;2221;0.762495565
1107;2222;0.803219029
1107;2351;0.781590253
1107;2352;0.778244408
1107;2511;0.775596113
1107;2512;0.780269058
1107;2591;0.786709755
1107;2592;0.78315025
1107;3511;0.801866469
120;0113;0.764091319
120;0115;0.895763845
120;0122;0.765333236
120;0126;0.785796975
120;0311;0.763957229
120;0312;0.763957229
120;0893;0.768790228
120;1032;0.753290832
120;1039;0.786653529
120;1071;0.798724164
120;1072;0.798724164
120;1083;0.763285864
120;1084;0.767339861
120;1105;0.7500889
120;1412;0.779805571
120;1413;0.762811826
120;1414;0.77836088
120;1439;0.762951894
120;1721;0.803228825
120;2222;0.760221114
120;2351;0.750140093
1301;0116;0.947391882
1302;1396;0.753473019
1302;2006;0.776593128
1302;2599;0.786741547
1392;1411;0.799895441
1392;1412;0.823513902
1392;1413;0.848045096
1392;1414;0.828873836
1392;1419;0.838449083
1392;1431;0.810659522
1392;1439;0.785848925
1392;1502;0.790684906
1392;2307;0.752170991
1392;3101;0.751466969
1392;3102;0.751466969
1392;3103;0.828517821
1392;3109;0.760295651
1392;3203;0.82203398
1394;0311;0.770487407
1394;0312;0.770487407
1394;1002;0.813823469
1394;1412;0.791205612
1394;1413;0.791155891
1394;1414;0.815355532
1394;1439;0.773863521
1394;2351;0.759566662
1396;1302;0.753473019
1396;2593;0.759748368
1399;2894;0.753093435
1411;1392;0.799895441
1411;1412;0.810441658
1411;1413;0.827890587
1411;1414;0.8197616
1411;1419;0.93375593
1411;1439;0.791100758
1411;1502;0.816857227
1411;3203;0.868987579
1411;3299;0.815107815
1412;0115;0.817823769
1412;0126;0.813704551
1412;1039;0.795538781
1412;1071;0.766946096
1412;1072;0.766946096
1412;120;0.779805571
1412;1392;0.823513902
1412;1394;0.791205612
1412;1411;0.810441658
1412;1413;0.988885485
1412;1414;0.980063571
1412;1419;0.910161717
1412;1431;0.836158454
1412;1439;0.96022547
1412;1502;0.822052061
1412;1721;0.810307229
1412;2222;0.767701317
1412;2351;0.769223837
1412;2731;0.79192053
1412;2732;0.804006999
1412;3203;0.836041828
1413;0115;0.798128528
1413;0126;0.796665728
1413;1039;0.773798581
1413;120;0.762811826
1413;1392;0.848045096
1413;1394;0.791155891
1413;1411;0.827890587
1413;1412;0.988885485
1413;1414;0.98256335
1413;1419;0.921238649
1413;1431;0.852509568
1413;1439;0.958336778
1413;1502;0.842441316
1413;1721;0.777578749
1413;2731;0.779394373
1413;2732;0.788772882
1413;3203;0.854783895
1414;0115;0.815789384
1414;0122;0.750447257
1414;0126;0.798664455
1414;0311;0.761459811
1414;0312;0.761459811
1414;1002;0.761619007
